time,close,high,low,open,volumefrom,volumeto
1515700020,1173.91,1175.37,1171.64,1175.21,2174.1,2549337.45
1515700080,1171.01,1175.66,1171.01,1173.91,2422,2834134.86
1515700140,1163.64,1171.01,1163.27,1171.01,1381.86,1610444.33
1515700200,1171.21,1171.82,1161.64,1163.44,1814.65,2117414.14
1515700260,1171.87,1172.04,1170.27,1171.21,631.98,740425.22
1515700320,1172.21,1173.8,1171.76,1171.87,1955.45,2291929.47
1515700380,1172.95,1173.41,1171.41,1172.21,752.4,881502.77
1515700440,1173.07,1174.47,1172.67,1172.94,651.43,761839.9
1515700500,1171.22,1173.07,1170.97,1173.07,767.86,899833.48
1515700560,1170.98,1171.35,1170.5,1171.22,318.63,374647.53
1515700620,1173.13,1173.13,1170.91,1170.91,809.32,947951.08
1515700680,1172.83,1173.38,1171.68,1173.16,449.29,526147.79
1515700740,1174.49,1174.63,1172.57,1172.83,652.5,765554.97
1515700800,1175.87,1176.63,1174.49,1174.49,888.31,1042515.84
1515700860,1176.93,1176.93,1175.09,1175.87,537.96,632127.79
1515700920,1174.04,1178.37,1174.04,1176.93,1526.68,1782691.52
1515700980,1170.28,1174.78,1169.51,1174.04,1096.15,1280492.83
1515701040,1170.31,1171.76,1168.97,1170.28,401.91,470569.29
1515701100,1171.49,1171.97,1170.3,1170.31,331.64,387126.87
1515701160,1170.38,1171.53,1169.38,1171.49,403.14,471307.51
1515701220,1170.02,1170.82,1169.83,1170.38,295.74,347025.5
1515701280,1171.08,1171.09,1169.97,1170.02,210.53,246934.9
1515701340,1170.39,1171.79,1170.37,1171.07,267.59,313137.03
1515701400,1172.97,1172.97,1170.27,1170.72,726.62,849841.45
1515701460,1173.69,1174.47,1172.4,1172.97,329.24,386768.06
1515701520,1169.38,1174.65,1169.38,1173.69,747.59,878668.23
1515701580,1168.13,1169.48,1167.83,1169.38,376.75,439443.4
1515701640,1170.61,1170.67,1167.15,1167.76,326.06,382090.81
1515701700,1166.46,1170.81,1165.3,1170.79,575.56,668716.64
1515701760,1164.02,1166.5,1164.02,1165.97,371.83,433289.8
1515701820,1162.47,1164.27,1162.47,1164.07,882.91,1023049.32
1515701880,1159.83,1162.43,1159.76,1162.43,348.41,405153
1515701940,1158.41,1159.76,1158.41,1159.38,649.03,750740.96
